itemno;itemname;client;project;capacity_each;tl_to_tl_length;moc;design_pressure_bar;weights
101;Air Storage Vessel;ISRO - TWT;TRISONIC WIND TUNNEL Project, ISRO, Vikram Sarabhai Space Centre, Thiruvananthapuram, Kerala;770 Cu Mtr;45500;16;13,20,000;6
102;Spares for 2 Years operation;ISRO - TWT;TRISONIC WIND TUNNEL Project, ISRO, Vikram Sarabhai Space Centre, Thiruvananthapuram, Kerala;N/A;N/A;N/A;N/A;50,000
